staff_id,staff_name,department,gender,start_date
EMP00001,David White,Engineering,2,2013-07-30
EMP00002,Alice Taylor,Finance,3,2002-03-07
EMP00003,Alice Jackson,HR,3,2011-05-29
EMP00004,David Johnson,Sales,2,2017-08-29
EMP00005,Charlie Thomas,HR,3,2011-09-19
EMP00006,Emma Johnson,Finance,3,2000-10-27
EMP00007,Bob Anderson,HR,1,2010-09-27
EMP00008,Bob Anderson,Sales,1,2005-10-25
EMP00009,Frank Thomas,Engineering,1,2021-02-08
EMP00010,David Harris,Finance,3,2011-10-20
EMP00011,Hannah Thomas,Finance,1,2017-01-16
EMP00012,David Anderson,Marketing,3,2017-09-25
EMP00013,Jack Martin,Marketing,1,2005-12-07
EMP00014,Frank Jackson,Finance,3,2011-05-13
EMP00015,Charlie Johnson,HR,1,2010-10-06
EMP00016,Isaac Harris,Finance,1,2005-08-11
EMP00017,Jack Thomas,Engineering,3,2019-06-14
EMP00018,Emma Johnson,HR,3,2010-04-01
EMP00019,David White,Sales,1,2010-04-09
EMP00020,Alice White,Engineering,1,2009-03-13
EMP00021,Hannah Brown,Marketing,3,2015-06-11
EMP00022,Frank Smith,Sales,3,2008-01-31
EMP00023,Emma Anderson,Finance,3,2007-06-27
EMP00024,Frank Brown,Finance,3,2012-01-15
EMP00025,Frank Harris,Sales,1,2000-02-09
EMP00026,Bob Johnson,Sales,1,2008-04-22
EMP00027,Bob Johnson,Sales,3,2010-05-15
EMP00028,Jack Johnson,Engineering,1,2014-04-03
EMP00029,Grace Smith,Marketing,2,2011-05-06
,Hannah Harris,Finance,2,2019-11-09
EMP00031,Alice White,HR,1,2020-07-16
EMP00032,David Brown,Engineering,1,2002-05-14
EMP00033,Isaac Martin,Marketing,1,2006-04-13
EMP00034,Alice Jackson,Finance,1,2009-02-04
,Hannah Smith,Finance,2,2013-02-21
EMP00036,Grace Martin,Sales,2,2000-03-11
EMP00037,Alice Jackson,HR,1,2009-08-02
EMP00038,Jack Johnson,Marketing,2,2012-07-03
EMP00039,Jack White,Finance,1,2021-07-03
EMP00040,Jack Jackson,Finance,1,2014-11-18
EMP00041,David Martin,Sales,2,2001-12-15
EMP00042,Alice Brown,Sales,3,2014-01-29
EMP00043,David White,Engineering,2,2007-05-26
EMP00044,Bob Brown,HR,1,2020-08-16
EMP00045,Grace Jackson,Sales,1,2017-12-01
EMP00046,Emma Martin,Marketing,2,2020-06-11
EMP00047,Jack Anderson,HR,2,2003-01-18
EMP00048,Grace White,HR,3,2019-08-10
EMP00049,Hannah Harris,HR,2,2012-01-03
EMP00050,Jack Johnson,Marketing,3,2009-06-26
EMP00051,Alice Smith,Marketing,1,2018-05-20
EMP00052,Alice Jackson,Engineering,2,2012-08-19
EMP00053,Isaac Anderson,Engineering,1,2019-02-24
EMP00054,Alice White,Finance,2,2016-11-04
EMP00055,Isaac White,HR,3,2006-11-28
EMP00056,Isaac Anderson,Finance,2,2021-11-22
EMP00057,Bob Martin,HR,1,2012-01-20
EMP00058,Frank Harris,Sales,2,2007-02-10
EMP00059,Bob Taylor,Engineering,2,2010-09-03
EMP00060,Grace White,Sales,3,2013-09-23
